Tiêu đề,Ngày đăng,Số từ,Số bình luận,Tổng tương tác ở bình luận,Số ảnh,Số video,Tags,Chuyên mục
Elon Musk đấu khẩu với hãng game Ubisoft,"Thứ sáu, 28/3/2025, 05:00 (GMT+7)",414,28,53,1,0,"Elon Musk, Ubisoft",cong-nghe
Kỹ sư gạo cội góp phần đưa Nvidia thành công ty hơn 3.000 tỷ USD,"Thứ hai, 24/2/2025, 05:00 (GMT+7)",877,4,35,1,0,"NVIDIA, Trí tuệ nhân tạo - AI, Jonah Alben",cong-nghe
Galaxy S25 Edge siêu mỏng lộ cấu hình,"Thứ tư, 12/2/2025, 11:00 (GMT+7)",306,16,15,1,0,"Samsung, Apple Inc., smartphone siêu mỏng, iPhone 17 Air, Galaxy S25 Edge",cong-nghe
Loạt công nghệ trong bộ gia dụng của Toshiba,"Thứ ba, 1/4/2025, 09:00 (GMT+7)",655,0,0,4,0,"Toshiba, nồi cơm điện, máy lọc nước, Toshiba Japandi, tủ lạnh Japandi",cong-nghe
DeepSeek 'lưu dữ liệu người dùng không mã hóa',"Thứ bảy, 8/2/2025, 11:00 (GMT+7)",541,197,1051,1,0,"iOS, DeepSeek bảo mật",cong-nghe
Laptop 17 triệu đồng có card đồ họa rời,"Thứ năm, 23/1/2025, 09:53 (GMT+7)",1223,12,40,10,0,"Lenovo, Laptop gaming, LOQ, Lenovo LOQ 15IAX9E",cong-nghe
Đà Nẵng thiếu 33.000 lập trình viên,"Thứ bảy, 5/4/2025, 07:26 (GMT+7)",521,32,330,1,0,"Đà Nẵng, CNTT, miền Trung, Lập trình viên, Tuyển dụng, Lập trình, DevDay",cong-nghe
Bản nâng cấp' của Mark Zuckerberg,"Thứ tư, 15/1/2025, 05:00 (GMT+7)",1183,9,71,1,0,"Facebook, Mark Zuckerberg, Công ty Meta",cong-nghe
Oppo hé lộ smartphone gập mỏng nhất thế giới,"Thứ ba, 28/1/2025, 11:00 (GMT+7)",382,7,28,1,0,"so sánh, iPhone 16 Pro Max, Oppo Find N5, smartphone gập mỏng nhất",cong-nghe
DeepSeek - mô hình AI Trung Quốc đe dọa sự thống trị của Mỹ,"Thứ hai, 27/1/2025, 09:00 (GMT+7)",1241,219,1143,1,0,"Trung Quốc, Trí tuệ nhân tạo - AI, LLM, DeepSeek",cong-nghe
Internet di động Việt Nam tăng 15 bậc trên bảng xếp hạng thế giới,"Thứ hai, 3/3/2025, 11:02 (GMT+7)",837,99,895,2,0,"5G, Internet di động, Internet Việt Nam",cong-nghe
Ảnh thực tế Galaxy S25 và S25+,"Thứ năm, 23/1/2025, 01:00 (GMT+7)",537,9,29,5,0,"Samsung, Samsung Galaxy S25, Samsung Galaxy S25+",cong-nghe
"Nvidia ra siêu chip AI Vera Rubin, nền tảng cho robot hình người","Thứ tư, 19/3/2025, 14:56 (GMT+7)",1512,40,201,5,0,"NVIDIA, Jensen Huang",cong-nghe
"MacBook Air 2025 ra mắt với chip M4, giá rẻ hơn","Thứ tư, 5/3/2025, 21:55 (GMT+7)",457,15,98,2,0,"Apple Inc., MacBook Air M4, MacBook Air 2025",cong-nghe
Công ty AI cảnh báo ứng viên 'không dùng AI' khi xin việc,"Thứ sáu, 7/2/2025, 07:00 (GMT+7)",599,3,15,1,0,"Trí tuệ nhân tạo - AI, tuyển dụng, Anthropic",cong-nghe
Robot hình người chuẩn bị bữa sáng,"Thứ ba, 25/3/2025, 05:00 (GMT+7)",101,61,228,0,1,"Robot hình người, Dobot",cong-nghe
Doanh nghiệp Việt dự định chi trăm triệu USD xây dựng mạng blockchain,"Thứ năm, 16/1/2025, 15:44 (GMT+7)",1161,1,17,2,0,"công nghệ, doanh nghiệp Việt, HDBank, Blockchain, One Mount",cong-nghe
AI đang tác động đến công việc của những ai?,"Thứ năm, 20/3/2025, 05:00 (GMT+7)",1368,19,143,1,0,"Trí tuệ nhân tạo - AI, Việc làm",cong-nghe
