title,date,wordcount,comments,interactions,images,videos,tags,category,time_since_posted,popularity_score
Elon Musk đấu khẩu với hãng game Ubisoft,"Thứ sáu, 28/3/2025, 05:00 (GMT+7)",414.0,3.49256337708216,5.1062857519777785,1.0,0.0,"Elon Musk, Ubisoft",7,511.0,0.04610372566651289
Kỹ sư gạo cội góp phần đưa Nvidia thành công ty hơn 3.000 tỷ USD,"Thứ hai, 24/2/2025, 05:00 (GMT+7)",877.0,1.637692416600805,4.46972299807752,1.0,0.0,"NVIDIA, Trí tuệ nhân tạo - AI, Jonah Alben",7,1279.0,0.010336215139570466
Galaxy S25 Edge siêu mỏng lộ cấu hình,"Thứ tư, 12/2/2025, 11:00 (GMT+7)",306.0,2.9215515696602745,3.285213586494452,1.0,0.0,"Samsung, Apple Inc., smartphone siêu mỏng, iPhone 17 Air, Galaxy S25 Edge",7,1561.0,0.009392318460177032
Loạt công nghệ trong bộ gia dụng của Toshiba,"Thứ ba, 1/4/2025, 09:00 (GMT+7)",655.0,0.0,0.0,3.5,0.0,"Toshiba, nồi cơm điện, máy lọc nước, Toshiba Japandi, tủ lạnh Japandi",7,411.0,0.0
DeepSeek 'lưu dữ liệu người dùng không mã hóa',"Thứ bảy, 8/2/2025, 11:00 (GMT+7)",541.0,4.224532735474765,8.785430745730714,1.0,0.0,"iOS, DeepSeek bảo mật",7,1657.0,0.07438910597038542
Laptop 17 triệu đồng có card đồ họa rời,"Thứ năm, 23/1/2025, 09:53 (GMT+7)",1223.0,2.637210047541738,4.670561872106978,3.5,0.0,"Lenovo, Laptop gaming, LOQ, Lenovo LOQ 15IAX9E",7,1923.4062499999995,0.009708517716775283
Đà Nẵng thiếu 33.000 lập trình viên,"Thứ bảy, 5/4/2025, 07:26 (GMT+7)",521.0,3.631700290215578,8.360889153103065,1.0,0.0,"Đà Nẵng, CNTT, miền Trung, Lập trình viên, Tuyển dụng, Lập trình, DevDay",7,316.56666666666666,0.07438910597038542
Bản nâng cấp' của Mark Zuckerberg,"Thứ tư, 15/1/2025, 05:00 (GMT+7)",1183.0,2.360708314405224,5.57694462633098,1.0,0.0,"Facebook, Mark Zuckerberg, Công ty Meta",7,1923.4062499999995,0.012063633260258217
Oppo hé lộ smartphone gập mỏng nhất thế giới,"Thứ ba, 28/1/2025, 11:00 (GMT+7)",382.0,2.126768613731478,4.142622583293403,1.0,0.0,"so sánh, iPhone 16 Pro Max, Oppo Find N5, smartphone gập mỏng nhất",7,1921.0,0.006909835314263986
DeepSeek - mô hình AI Trung Quốc đe dọa sự thống trị của Mỹ,"Thứ hai, 27/1/2025, 09:00 (GMT+7)",1241.0,4.224532735474765,8.785430745730714,1.0,0.0,"Trung Quốc, Trí tuệ nhân tạo - AI, LLM, DeepSeek",7,1923.4062499999995,0.07438910597038542
Internet di động Việt Nam tăng 15 bậc trên bảng xếp hạng thế giới,"Thứ hai, 3/3/2025, 11:02 (GMT+7)",837.0,4.224532735474765,8.785430745730714,2.0,0.0,"5G, Internet di động, Internet Việt Nam",7,1104.9666666666667,0.07438910597038542
Ảnh thực tế Galaxy S25 và S25+,"Thứ năm, 23/1/2025, 01:00 (GMT+7)",537.0,2.360708314405224,4.193353361806252,3.5,0.0,"Samsung, Samsung Galaxy S25, Samsung Galaxy S25+",7,1923.4062499999995,0.007230850459666201
"Nvidia ra siêu chip AI Vera Rubin, nền tảng cho robot hình người","Thứ tư, 19/3/2025, 14:56 (GMT+7)",1369.875,3.866312684162163,7.403688295946874,3.5,0.0,"NVIDIA, Jensen Huang",7,717.0666666666667,0.06275991548900209
"MacBook Air 2025 ra mắt với chip M4, giá rẻ hơn","Thứ tư, 5/3/2025, 21:55 (GMT+7)",457.0,2.8571496719902085,6.117102739919217,2.0,0.0,"Apple Inc., MacBook Air M4, MacBook Air 2025",7,1046.0833333333333,0.03133813661231026
Công ty AI cảnh báo ứng viên 'không dùng AI' khi xin việc,"Thứ sáu, 7/2/2025, 07:00 (GMT+7)",599.0,1.407223424814969,3.285213586494452,1.0,0.0,"Trí tuệ nhân tạo - AI, tuyển dụng, Anthropic",7,1685.0,0.004018075969458205
Robot hình người chuẩn bị bữa sáng,"Thứ ba, 25/3/2025, 05:00 (GMT+7)",101.0,4.224532735474765,7.6415402381640085,0.0,0.07622030184054507,"Robot hình người, Dobot",7,583.0,0.07195182765321582
Doanh nghiệp Việt dự định chi trăm triệu USD xây dựng mạng blockchain,"Thứ năm, 16/1/2025, 15:44 (GMT+7)",1161.0,0.6983533452331834,3.4502371172383604,2.0,0.0,"công nghệ, doanh nghiệp Việt, HDBank, Blockchain, One Mount",7,1923.4062499999995,0.002795176795421362
AI đang tác động đến công việc của những ai?,"Thứ năm, 20/3/2025, 05:00 (GMT+7)",1368.0,3.0946123481066445,6.779452436505992,1.0,0.0,"Trí tuệ nhân tạo - AI, Việc làm",7,703.0,0.05131131723043843
Nhân viên IT tạo 'công tắc' tắt hệ thống khi bị sa thải,"Thứ tư, 12/3/2025, 10:10 (GMT+7)",372.0,4.16557447166935,7.973626029736168,1.0,0.0,"phần mềm, Công nghệ thông tin IT, tấn công hệ thống",7,889.8333333333334,0.06467599768448483
Giao diện Facebook thay đổi thế nào sau 20 năm,"Thứ hai, 31/3/2025, 15:49 (GMT+7)",844.0,2.126768613731478,4.950930573862915,3.5,0.07622030184054507,"Facebook, Công ty Meta",7,428.18333333333334,0.03548768439055464
Duolingo thông báo 'cú xanh đã chết',"Thứ năm, 13/2/2025, 13:58 (GMT+7)",548.0,3.784058982188853,8.785430745730714,1.0,0.0,"Duo, ứng dụng, ứng dụng học tiếng Anh, Duolingo",7,1534.0333333333333,0.0735001565687739
Google ra hai nền tảng chung cho robot,"Thứ sáu, 14/3/2025, 19:00 (GMT+7)",837.0,2.250109956422129,2.3595877025092555,1.0,0.0,"Google, Robot hình người",7,833.0,0.008661962069104166
"Sam Altman: Musk muốn gây rối, làm chậm OpenAI khi đề nghị mua","Thứ tư, 12/2/2025, 07:00 (GMT+7)",450.0,2.982348452816055,6.219169335649043,1.0,0.0,"Elon Musk, OpenAI, Sam Altman",7,1565.0,0.02419493332100989
