title,date,wordcount,comments,interactions,images,videos,tags,category,time_since_posted,popularity_score,title_length,has_number,has_emotion,is_question,title_score,sentiment_score,positive,negative,neutral,posted_hour,is_weekday,classified_tags,has_famous_people_tag,has_place_tag,has_event_tag,has_org_tag,has_comments,has_interactions
Elon Musk đấu khẩu với hãng game Ubisoft,"Thứ sáu, 28/3/2025, 05:00 (GMT+7)",414.0,3.49256337708216,5.1062857519777785,1.0,0.0,"['Elon Musk', 'Ubisoft']",7,511.0,0.0461037256665128,8,0,0,0,0.03516958293521384,-0.7574912905693054,0.020034038,0.7775253,0.20244066,5,1,"{'famous_people': ['Elon Musk', 'Ubisoft'], 'places': [], 'events': [], 'organizations': [], 'others': []}",True,False,False,False,1,1
Kỹ sư gạo cội góp phần đưa Nvidia thành công ty hơn 3.000 tỷ USD,"Thứ hai, 24/2/2025, 05:00 (GMT+7)",877.0,1.637692416600805,4.46972299807752,1.0,0.0,"['NVIDIA', 'Trí tuệ nhân tạo - AI', 'Jonah Alben']",7,1279.0,0.0103362151395704,15,1,0,0,0.024024966555669283,0.7937520742416382,0.8105602,0.016808145,0.17263158,5,1,"{'famous_people': ['NVIDIA', 'Jonah Alben'], 'places': [], 'events': ['Trí tuệ nhân tạo - AI'], 'organizations': [], 'others': []}",True,False,True,False,1,1
Galaxy S25 Edge siêu mỏng lộ cấu hình,"Thứ tư, 12/2/2025, 11:00 (GMT+7)",306.0,2.9215515696602745,3.285213586494452,1.0,0.0,"['Samsung', 'Apple Inc.', 'smartphone siêu mỏng', 'iPhone 17 Air', 'Galaxy S25 Edge']",7,1561.0,0.009392318460177,8,1,0,0,0.028067229086984214,-0.008001469075679779,0.06391011,0.07191158,0.8641783,11,1,"{'famous_people': ['Galaxy S25 Edge'], 'places': [], 'events': ['iPhone 17 Air'], 'organizations': ['Samsung'], 'others': ['Apple Inc.', 'smartphone siêu mỏng']}",True,False,True,True,1,1
Loạt công nghệ trong bộ gia dụng của Toshiba,"Thứ ba, 1/4/2025, 09:00 (GMT+7)",655.0,0.0,0.0,3.5,0.0,"['Toshiba', 'nồi cơm điện', 'máy lọc nước', 'Toshiba Japandi', 'tủ lạnh Japandi']",7,411.0,0.0,9,0,0,0,0.03459211685931171,0.646111786365509,0.6709619,0.02485012,0.304188,9,1,"{'famous_people': ['Toshiba', 'Toshiba Japandi'], 'places': [], 'events': [], 'organizations': [], 'others': ['nồi cơm điện', 'máy lọc nước', 'tủ lạnh Japandi']}",True,False,False,False,0,0
DeepSeek 'lưu dữ liệu người dùng không mã hóa',"Thứ bảy, 8/2/2025, 11:00 (GMT+7)",541.0,4.224532735474765,8.785430745730714,1.0,0.0,"['iOS', 'DeepSeek bảo mật']",7,1657.0,0.0743891059703854,9,0,0,1,0.035029905653597496,-0.9060179591178894,0.02415472,0.9301727,0.0456726,11,0,"{'famous_people': [], 'places': [], 'events': [], 'organizations': [], 'others': ['iOS', 'DeepSeek bảo mật']}",False,False,False,False,1,1
Laptop 17 triệu đồng có card đồ họa rời,"Thứ năm, 23/1/2025, 09:53 (GMT+7)",1223.0,2.637210047541738,4.670561872106978,3.5,0.0,"['Lenovo', 'Laptop gaming', 'LOQ', 'Lenovo LOQ 15IAX9E']",7,1923.4062499999995,0.0097085177167752,9,1,0,0,0.02748976301108208,0.8885464668273926,0.9056306,0.017084137,0.07728521,9,1,"{'famous_people': ['Lenovo', 'LOQ'], 'places': [], 'events': [], 'organizations': [], 'others': ['Laptop gaming', 'Lenovo LOQ 15IAX9E']}",True,False,False,False,1,1
Đà Nẵng thiếu 33.000 lập trình viên,"Thứ bảy, 5/4/2025, 07:26 (GMT+7)",521.0,3.631700290215578,8.360889153103065,1.0,0.0,"['Đà Nẵng', 'CNTT', 'miền Trung', 'Lập trình viên', 'Tuyển dụng', 'Lập trình', 'DevDay']",7,316.56666666666666,0.0743891059703854,7,1,0,0,0.028644695162886348,-0.6473597884178162,0.032577563,0.67993736,0.28748506,7,0,"{'famous_people': ['CNTT', 'DevDay'], 'places': ['Đà Nẵng'], 'events': [], 'organizations': [], 'others': ['miền Trung', 'Lập trình viên', 'Tuyển dụng', 'Lập trình']}",True,True,False,False,1,1
Bản nâng cấp' của Mark Zuckerberg,"Thứ tư, 15/1/2025, 05:00 (GMT+7)",1183.0,2.360708314405224,5.57694462633098,1.0,0.0,"['Facebook', 'Mark Zuckerberg', 'Công ty Meta']",7,1923.4062499999995,0.0120636332602582,6,0,0,0,0.03632451508701811,0.919670820236206,0.93045175,0.01078094,0.05876725,5,1,"{'famous_people': ['Facebook', 'Mark Zuckerberg'], 'places': [], 'events': [], 'organizations': ['Công ty Meta'], 'others': []}",True,False,False,True,1,1
Oppo hé lộ smartphone gập mỏng nhất thế giới,"Thứ ba, 28/1/2025, 11:00 (GMT+7)",382.0,2.126768613731478,4.142622583293403,1.0,0.0,"['so sánh', 'iPhone 16 Pro Max', 'Oppo Find N5', 'smartphone gập mỏng nhất']",7,1921.0,0.0069098353142639,9,0,1,0,0.042942707490968034,0.07401902973651886,0.12432962,0.05031059,0.8253598,11,1,"{'famous_people': ['Oppo Find N5'], 'places': [], 'events': [], 'organizations': [], 'others': ['so sánh', 'iPhone 16 Pro Max', 'smartphone gập mỏng nhất']}",True,False,False,False,1,1
DeepSeek - mô hình AI Trung Quốc đe dọa sự thống trị của Mỹ,"Thứ hai, 27/1/2025, 09:00 (GMT+7)",1241.0,4.224532735474765,8.785430745730714,1.0,0.0,"['Trung Quốc', 'Trí tuệ nhân tạo - AI', 'LLM', 'DeepSeek']",7,1923.4062499999995,0.0743891059703854,14,0,0,1,0.032142575274086836,-0.8032463192939758,0.052035794,0.8552821,0.09268213,9,1,"{'famous_people': ['LLM', 'DeepSeek'], 'places': ['Trung Quốc'], 'events': ['Trí tuệ nhân tạo - AI'], 'organizations': [], 'others': []}",True,True,True,False,1,1
